# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2452181.5875   11.4        ""            ""              Vis. SXN  "" 126         112         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452189.4576   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452190.3      13.0        ""            ""              Vis. SPK  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" AFOEV STD ""     ""              ""          ""    
  2452190.4      12.4        ""            ""              Vis. SPK  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" AFOEV STD ""     ""              ""          ""    
  2452190.6764   11.8        ""            ""              Vis. SXN  "" 126         112         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452191.3743   11.8        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452192.3569   11.8        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452193.3139   11.8        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452194.4083   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452202.25     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "OCT 19.75"                                      ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452204.3319   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452205.23     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "OCT 22.73"                                      ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452206.3299   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452207.3736   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452212.22     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "OCT 29.72"                                      ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452218.3236   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452219.359    11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452223.3701   11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452224.2      11.8        ""            ""              Vis. SPK  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" AFOEV STD ""     ""              ""          ""    
  2452224.325    11.7        ""            ""              Vis. MUY  "" 11.0-11.2   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452225.2      13.3        ""            ""              Vis. SPK  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" AFOEV STD ""     ""              ""          ""    
